block,parameter_method,model_id,benchmark,topology,intervention,drr_target_mean,drr_target_std,drr_target_count,irr_target_mean,irr_target_std,irr_target_count,retention_target_mean,retention_target_std,retention_target_count,drr_system_mean,drr_system_std,drr_system_count,irr_system_mean,irr_system_std,irr_system_count,retention_system_mean,retention_system_std,retention_system_count
ablation_target_position,none,qwen3_8b,TOFU,sequential,full_inference,0.2888888888888889,0.38873012632302006,9,0.6666666666666666,0.41231056256176607,9,1.0,0.0,9,0.6000000000000001,0.48989794855663565,9,0.8222222222222223,0.3231786571610886,9,1.0,0.0,9
ablation_target_position,none,qwen3_8b,TOFU,sequential,target_context_memory,0.7111111111111111,0.41365578819969523,9,0.8,0.39999999999999997,9,1.0,0.0,9,0.911111111111111,0.20275875100994065,9,0.9555555555555555,0.08819171036881968,9,1.0,0.0,9
coder_scale,none,qwen25coder_14b,MUSE-Books,debate,full_inference,0.2,,1,,,0,0.0,,1,1.0,,1,,,0,0.2,,1
coder_scale,none,qwen25coder_14b,MUSE-Books,debate,none,1.0,,1,,,0,0.0,,1,1.0,,1,,,0,0.0,,1
coder_scale,none,qwen25coder_14b,MUSE-Books,debate,target_context_memory,0.8,,1,,,0,0.0,,1,1.0,,1,,,0,0.2,,1
coder_scale,none,qwen25coder_14b,MUSE-Books,independent,full_inference,0.0,,1,,,0,1.0,,1,0.0,,1,,,0,1.0,,1
coder_scale,none,qwen25coder_14b,MUSE-Books,independent,none,1.0,,1,,,0,0.4,,1,1.0,,1,,,0,0.4,,1
coder_scale,none,qwen25coder_14b,MUSE-Books,independent,target_context_memory,0.0,,1,,,0,1.0,,1,0.0,,1,,,0,1.0,,1
coder_scale,none,qwen25coder_14b,MUSE-Books,scratchpad,full_inference,0.0,,1,,,0,0.0,,1,1.0,,1,,,0,0.0,,1
coder_scale,none,qwen25coder_14b,MUSE-Books,scratchpad,none,1.0,,1,,,0,0.0,,1,1.0,,1,,,0,0.0,,1
coder_scale,none,qwen25coder_14b,MUSE-Books,scratchpad,target_context_memory,1.0,,1,,,0,0.0,,1,1.0,,1,,,0,0.0,,1
coder_scale,none,qwen25coder_14b,MUSE-News,debate,full_inference,0.0,,1,,,0,0.0,,1,0.0,,1,,,0,0.4,,1
coder_scale,none,qwen25coder_14b,MUSE-News,debate,none,0.0,,1,,,0,0.0,,1,0.0,,1,,,0,0.4,,1
coder_scale,none,qwen25coder_14b,MUSE-News,debate,target_context_memory,0.0,,1,,,0,0.0,,1,0.0,,1,,,0,0.4,,1
