contrast,A,B,metric,n_pairs,mean_A,mean_B,mean_diff_B_minus_A,median_diff,bootstrap95_low,bootstrap95_high,wilcoxon_p,model_id,benchmark,topology,wilcoxon_p_holm
total_defense,none,full_inference,irr_target,39,0.1948717948717948,0.1025641025641025,-0.0923076923076923,0.0,-0.1897435897435897,-0.0102564102564102,0.0750477365274088,,,debate,1.0
total_defense,none,full_inference,retention_target,45,0.2177777777777778,0.2044444444444444,-0.0133333333333333,0.0,-0.0622222222222222,0.0311111111111111,0.7517303978095822,,,debate,1.0
total_defense,none,full_inference,drr_system,45,0.3022222222222223,0.2933333333333333,-0.0088888888888888,0.0,-0.0844444444444444,0.0666666666666666,0.9498085010108124,,,debate,1.0
total_defense,none,full_inference,irr_system,39,0.1948717948717948,0.1692307692307692,-0.0256410256410256,0.0,-0.0871794871794871,0.0307692307692307,0.5486660989062389,,,debate,1.0
total_defense,none,full_inference,retention_system,45,0.2177777777777778,0.2622222222222222,0.0444444444444444,0.0,-0.0044444444444444,0.0977777777777777,0.0898074734312008,,,debate,1.0
total_defense,none,full_inference,drr_target,45,0.4177777777777778,0.0577777777777777,-0.36,-0.2,-0.4977777777777778,-0.2444444444444444,1.182194169536384e-05,,,hierarchical,0.0046578450279733
total_defense,none,full_inference,irr_target,39,0.2564102564102564,0.0358974358974358,-0.2205128205128205,0.0,-0.3538461538461538,-0.1128205128205128,0.0018506039346158,,,hierarchical,0.6588150007232281
total_defense,none,full_inference,retention_target,45,0.3911111111111111,0.5066666666666667,0.1155555555555555,0.0,0.0177777777777777,0.2177777777777778,0.0232363671017754,,,hierarchical,1.0
total_defense,none,full_inference,drr_system,45,0.3911111111111111,0.3644444444444444,-0.0266666666666666,0.0,-0.0622222222222222,3.700743415417189e-18,0.246251699692527,,,hierarchical,1.0
total_defense,none,full_inference,irr_system,39,0.241025641025641,0.2205128205128205,-0.0205128205128205,0.0,-0.0512820512820512,0.0051282051282051,0.1936464312692206,,,hierarchical,1.0
total_defense,none,full_inference,retention_system,45,0.32,0.32,-1.2335811384723962e-18,0.0,-0.0177777777777777,0.0177777777777777,0.7054569861112734,,,hierarchical,1.0
total_defense,none,full_inference,drr_target,45,0.4755555555555556,0.0622222222222222,-0.4133333333333334,-0.2,-0.5466666666666666,-0.2933333333333333,7.778787466397412e-06,,,independent,0.0031192937740253
total_defense,none,full_inference,irr_target,39,0.3179487179487179,0.0461538461538461,-0.2717948717948718,0.0,-0.4,-0.158974358974359,0.0001766057613945,,,independent,0.0671101893299135
total_defense,none,full_inference,retention_target,45,0.4844444444444444,0.5688888888888889,0.0844444444444444,0.0,-0.0177777777777777,0.1822222222222222,0.0776311060517476,,,independent,1.0
total_defense,none,full_inference,drr_system,45,0.4755555555555556,0.0622222222222222,-0.4133333333333334,-0.2,-0.5466666666666666,-0.2933333333333333,7.778787466397412e-06,,,independent,0.0031192937740253
total_defense,none,full_inference,irr_system,39,0.3179487179487179,0.0461538461538461,-0.2717948717948718,0.0,-0.4,-0.158974358974359,0.0001766057613945,,,independent,0.0671101893299135
total_defense,none,full_inference,retention_system,45,0.4844444444444444,0.5688888888888889,0.0844444444444444,0.0,-0.0177777777777777,0.1822222222222222,0.0776311060517476,,,independent,1.0
total_defense,none,full_inference,drr_target,45,0.4488888888888889,0.0933333333333333,-0.3555555555555555,-0.2,-0.488888888888889,-0.2355555555555555,1.912612300354917e-05,,,scratchpad,0.0074400618483806
total_defense,none,full_inference,irr_target,39,0.3384615384615384,0.1948717948717948,-0.1435897435897436,0.0,-0.2717948717948718,-0.0256410256410256,0.0331378467092803,,,scratchpad,1.0
total_defense,none,full_inference,retention_target,45,0.44,0.5333333333333333,0.0933333333333333,0.0,0.0088888888888888,0.1778888888888883,0.0397532498922673,,,scratchpad,1.0
total_defense,none,full_inference,drr_system,45,0.4533333333333333,0.4088888888888888,-0.0444444444444444,0.0,-0.0888888888888888,-0.0088888888888888,0.0421681970971559,,,scratchpad,1.0
total_defense,none,full_inference,irr_system,39,0.317948717948718,0.3282051282051282,0.0102564102564102,0.0,-0.041025641025641,0.0564102564102564,0.6713732405408726,,,scratchpad,1.0
total_defense,none,full_inference,retention_system,45,0.44,0.4577777777777777,0.0177777777777777,0.0,-0.0266666666666666,0.0622222222222222,0.4032032815358419,,,scratchpad,1.0
total_defense,none,full_inference,drr_target,45,0.4088888888888888,0.0533333333333333,-0.3555555555555555,-0.2,-0.4933333333333333,-0.2355555555555555,2.0016600953849806e-05,,,sequential,0.0077664411700937
total_defense,none,full_inference,irr_target,39,0.2923076923076923,0.1743589743589743,-0.1179487179487179,0.0,-0.2205128205128204,-0.0256410256410256,0.0227617929441284,,,sequential,1.0
total_defense,none,full_inference,retention_target,45,0.3333333333333333,0.3866666666666666,0.0533333333333333,0.0,-0.0222222222222222,0.1288888888888889,0.1975335873062383,,,sequential,1.0
total_defense,none,full_inference,drr_system,45,0.4133333333333334,0.3644444444444444,-0.0488888888888888,0.0,-0.1111111111111111,-0.0044444444444444,0.0678891548618289,,,sequential,1.0
total_defense,none,full_inference,irr_system,39,0.2871794871794872,0.2461538461538461,-0.041025641025641,0.0,-0.0923076923076923,0.0051282051282051,0.1247727360437228,,,sequential,1.0
total_defense,none,full_inference,retention_system,45,0.3111111111111111,0.3022222222222223,-0.0088888888888888,0.0,-0.0488888888888888,0.0311111111111111,0.5701580449180648,,,sequential,1.0
